epoch,loss,lr,mae,val_loss,val_mae
1,0.05093442648649216,9.999999747378752e-05,0.13345257937908173,0.024203233420848846,0.08375272899866104
2,0.03445042669773102,9.999999747378752e-05,0.10280634462833405,0.01521982904523611,0.04281659796833992
3,0.030454356223344803,9.999999747378752e-05,0.09370746463537216,0.015649916604161263,0.04640522226691246
4,0.028519613668322563,9.999999747378752e-05,0.08919181674718857,0.018470127135515213,0.05177809298038483
5,0.026705406606197357,9.999999747378752e-05,0.08496072888374329,0.018525786697864532,0.061621807515621185
6,0.024979718029499054,9.999999747378752e-05,0.08153697103261948,0.015595928765833378,0.038498200476169586
7,0.02414037100970745,9.999999747378752e-05,0.07946337759494781,0.015652133151888847,0.03628455847501755
8,0.022613851353526115,1.9999999494757503e-05,0.07615767419338226,0.016079524531960487,0.04398098215460777
9,0.02204865589737892,1.9999999494757503e-05,0.0750817283987999,0.01652059331536293,0.044690411537885666
10,0.02135380357503891,1.9999999494757503e-05,0.07320485264062881,0.01610133983194828,0.041540153324604034
11,0.020563174039125443,1.9999999494757503e-05,0.07197891920804977,0.015916649252176285,0.041111622005701065
12,0.0204180795699358,1.9999999494757503e-05,0.07140939682722092,0.015793336555361748,0.04018775001168251
